id,url,is_post,post_title,publish_date,author,comment_count
0,http://www.younghouselove.com/2011/01/january-superlatives/,True,January Superlatives,"January 30, 2011",Sherry Petersik,12
1,http://www.younghouselove.com,False,NA,NA,NA,NA
2,http://www.younghouselove.com/about-2/,False,NA,NA,NA,NA
3,http://www.younghouselove.com/photo-gallery-2/,False,NA,NA,NA,NA
4,http://www.younghouselove.com/how-to/,False,NA,NA,NA,NA
5,http://www.younghouselove.com/wedding-album/,False,NA,NA,NA,NA
6,http://www.younghouselove.com/book,False,NA,NA,NA,NA
7,http://www.younghouselove.com/2011/01/january-superlatives/#comments,False,NA,NA,NA,NA
8,http://www.younghouselove.com/author/youngstersherry/,False,NA,NA,NA,NA
9,http://www.younghouselove.com/2011/01/what-the-dealio/,True,What The Dealio,"January 3, 2011",Sherry Petersik,370
10,http://www.younghouselove.com/2011/01/built-ins-are-hard/,True,Built-Ins Are Hard,"January 4, 2011",Sherry Petersik,186
11,http://www.younghouselove.com/2011/01/tall-dark-and-handsome/,True,"Tall, Dark, And Handsome","January 4, 2011",Sherry Petersik,584
12,http://www.younghouselove.com/2011/01/duvet-in-the-house/,True,Duvet In The House,"January 5, 2011",Sherry Petersik,340
13,http://www.younghouselove.com/2011/01/whats-wrong-with-us/,True,What’s Wrong With Us?,"January 5, 2011",John Petersik,120
14,http://www.younghouselove.com/2011/01/breathing-room/,True,Breathing Room,"January 6, 2011",Sherry Petersik,147
15,http://www.younghouselove.com/2011/01/take-it-away/,True,Take It Away,"January 7, 2011",Sherry Petersik,372
16,http://www.younghouselove.com/2011/01/mirror-mirror-off-the-wall/,True,Mirror Mirror Off The Wall,"January 10, 2011",John Petersik,462
17,http://www.younghouselove.com/2011/01/carolina-inn-club-aqua/,True,Carolina Inn Club Aqua,"January 11, 2011",John Petersik,547
18,http://www.younghouselove.com/2011/01/im-running-out-of-mirror-puns/,True,I’m Running Out Of Mirror Puns,"January 12, 2011",John Petersik,264
